Snap_Date,Store_Name,Store_Division,Tool_Brand,Major_Business_Unit,Tool_Category,Expert_Level,Week_Sales_SPT,Annual_Sales_SPT,Supply_Weeks,Week_ID,Year_ID,Series
2022-02-21,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,884749.48,6633111.57,7.075978553,8,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-02-28,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,164699.04,1334969.56,12.28635243,9,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-03-07,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1864278.32,17257636.21,7.44027449,10,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-03-14,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,966853.73,9448359.42,5.975367352,11,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-03-21,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,177013.7,1864494.66,10.42319332,12,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-03-28,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,974744.48,11397848.38,6.661646344,13,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-04-04,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1103461.51,12530043.14,6.678319938,14,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-04-11,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,174780.58,2399119.1,9.717485606,15,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-04-18,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1057366.19,14680483.37,7.715438709,16,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-04-25,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,180778.5,2756256.75,9.969314186,17,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-05-02,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,172066.73,2928323.48,10.25333068,18,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-05-09,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2048879.79,36510261.98,8.037450743,19,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-05-16,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,183531,3284762.68,10.62621282,20,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-05-23,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,183531,3461448.75,10.62621282,21,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-05-30,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,169180.83,3630629.58,10.85944165,22,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-06-06,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,174232.09,3804861.67,11.10247894,23,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-06-13,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,169681.54,3974543.21,11.36450908,24,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-06-20,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,907157.38,23199085.17,9.526333737,25,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-06-27,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,164202.08,4313017.37,11.3703903,26,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-07-04,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,826258.06,24879745.57,9.554381786,27,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-07-11,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,168141.8,4638221.42,11.55832299,28,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-07-18,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,174365.34,4812586.76,11.68279751,29,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-07-25,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,949413.38,27677888.81,8.695618192,30,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-08-01,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,166484.45,5149657.63,11.4523761,31,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-08-08,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,172103.19,5321760.82,11.62009229,32,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-08-15,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,171576.59,5493337.41,11.23868917,33,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-08-22,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,167483.83,5660821.24,11.31935752,34,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-08-29,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,163539.94,5824361.18,11.25562305,35,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-09-05,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,857341.42,32999167.38,9.512517122,36,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-09-12,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,169525.06,6154634.57,11.11184727,37,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-09-19,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,162035.79,6316670.36,11.08025844,38,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-09-26,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,162482.61,6479152.97,10.76202336,39,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-10-03,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,157051.34,6636204.31,10.27151167,40,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-10-10,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,797144.08,37157183.41,9.357354981,41,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-10-17,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,158045.41,6949234.18,11.39637192,42,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-10-24,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,787560.27,38750046.5,9.475677369,43,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-10-31,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,2831344.35,84705665.13,9.154461741,44,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-11-07,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,846418.11,40405718.89,9.233676529,45,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-11-14,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,920430.53,41326149.42,9.443263417,46,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-11-21,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,139524.56,7744206.22,12.2638104,47,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-11-28,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,954298.28,43213900.79,8.624636929,48,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-12-05,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,938012.98,44151913.77,8.451578843,49,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-12-12,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,951860.54,45103774.31,8.319423971,50,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-12-19,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,951860.54,46055634.85,8.319423971,51,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2022-12-26,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,145952.14,8586464.8,13.05887046,52,2021,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-01-02,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,155097.72,155097.72,13.69315333,1,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-01-09,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,818887.09,1578757.11,10.61927457,2,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-01-16,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,811815.65,2390572.76,10.14540283,3,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-01-23,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,184230.24,729797.94,11.69534216,4,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-01-30,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,178651.8,908449.74,12.19468134,5,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-02-06,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,192455.76,1100905.5,12.23476008,6,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-02-13,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,199306.62,1300212.12,12.16160975,7,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-02-20,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,192205.53,1492417.65,12.26310922,8,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-02-27,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,860202.07,7310324.61,9.662112717,9,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-03-06,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,834283.89,8144608.5,9.688057505,10,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-03-13,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,204830.53,2099096.1,11.77267121,11,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-03-20,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,211932.87,2311028.97,11.58561866,12,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-03-27,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,893414.93,10796111.99,9.797421445,13,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-04-03,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,212454.77,2732157.22,11.51036166,14,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-04-10,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1709471.39,25558651.81,10.71785419,15,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-04-17,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1788203.21,27346855.02,10.54015839,16,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-04-24,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,214995.34,3369763.76,11.10026765,17,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-05-01,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,829949.81,15135883.63,10.2239417,18,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-05-08,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1720372.68,32515517.47,11.1881729,19,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-05-15,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1720374,34235889,11.1881729,20,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-05-22,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,832176.57,17702715.72,10.78034148,21,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-05-29,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,200587.81,4428661.46,11.50983594,22,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-06-05,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1635287.28,39161918.45,11.8002997,23,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-06-12,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,852619.25,20179108.43,10.59984442,24,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-06-19,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,208074.51,5045318.22,11.30065618,25,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-06-26,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,208294.21,5253612.43,11.29075347,26,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-07-03,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,789782.63,22685908.39,10.23410708,27,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-07-10,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,843783.71,23529692.1,10.01973835,28,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-07-17,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,824319.38,24354011.48,9.715537977,29,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-07-24,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,836757.25,25190768.73,9.722808602,30,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-07-31,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1699967.45,52663784.35,10.24875527,31,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-08-07,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,207118,6497249.3,11.45256122,32,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-08-14,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,206676.44,6703925.74,11.60193106,33,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-08-21,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,839220.52,28598519.71,9.388527137,34,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-08-28,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,840053.73,29438573.44,9.614330366,35,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-09-04,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,1554977.92,60861703.66,9.572492556,36,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-09-11,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,855721.21,31103851.59,9.840177364,37,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-09-18,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,851110.25,31954961.84,10.10514385,38,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-09-25,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,827190.51,32782152.35,10.1706468,39,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-10-02,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,208886.66,8113983.13,15.90722828,40,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-10-09,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,215376.58,8329359.71,16.85916876,41,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-10-16,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,864164.52,35330869.35,10.33177313,42,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
2023-10-23,Home Depot,Power Tools,UNBOLT,BRU,Accessories,Pro,208759.46,8748137.23,16.97933833,43,2022,Home Depot-Power Tools-UNBOLT-BRU-Accessories-Pro
